subject,question,answer_a,answer_b,answer_c,answer_d,answer,hint
Real Estate Calculations,A rectangular lot is 45 feet wide at the street and contains 620 square yards. How deep is the lot?,80 ft.,124 ft.,115 ft.,120 ft.,b,"Correct answer is (b). There are 9 sq. ft. in a sq. yd.; 620 sq. yd. x 9 = 5,580 sq. ft.; 5,580 sq. ft. divided by 45 ft. = 124 ft. deep."
Real Estate Calculations,A rectangular lot is 45 feet wide at the street and contains 620 square yards. How deep is the lot?,80 ft.,124 ft.,115 ft.,120 ft.,b,"Correct answer is (b). There are 9 sq. ft. in a sq. yd.. 620 sq. yd. x 9 = 5,580 sq. ft.. 5,580 sq. ft. divided by 45 ft. = 124 ft. deep."
Real Estate Calculations,A rectangular parcel of land has an area of 540 square yards. It has a 45-foot frontage. How deep is the lot?,60 feet,108 feet,"1,080 feet",200 yards,b,"Correct answer is (b). 540 square yards x 9 (sqare feet in a square yard) = 4,860 sqare feet. 4,860 square feet divided by 45 feet = 108 feet."
Real Estate Calculations,A rectangular parcel of land has an area of 770 square yards. It has a 55-foot frontage. How deep is the lot?,126 feet,114 feet,"4,705 feet","6,930 yards",a,"Correct answer is (a). 770 x 9 (sq. ft. in a sq. yd.) = 6,930 sq. ft. 6,930 sq. ft. divided by 55 = 126 feet."
Real Estate Calculations,A rectangular-shaped building that is 45 feet wide and 65 feet long has a perimeter of:,220 feet.,220 square feet.,"2,925 feet.","2,925 square feet.",a,Correct answer is (a). Perimeter = 2 x length(65) + 2 x width(45) = 130 + 90 = 220 feet.
Real Estate Calculations,"A road comprising a total of 3 acres runs along the southern boundary of a section. Of the following, which is most nearly the width of the road?",20 feet,30 feet,40 feet,50 feet,a,"Correct answer is (a). The southern boundary is 1 mile long, or 5,280 feet.|43,560 x 3 = 130,680 divided by 5,280 = 24.75 feet (closest answer is 20 feet)."
Real Estate Calculations,A road comprising a total of 5 acres runs along the northern boundary of a section. Which is most nearly the width of the road?,20 feet,30 feet,40 feet,50 feet,c,"Correct answer is (c). The northern boundary is 1 mile long, or 5,280 feet. 43,560 x 5 = 217,800 divided by 5,280 = 41.25 feet. Closest answer is 40 ft."
Real Estate Calculations,A road runs across the entire northern boundary of a section of land. The road contains two acres of land. The approximate width of the road would be:,17 feet.,20 feet.,30 feet.,40 feet.,a,"Correct answer is (a). This is a rectangular figure which is 5280 feet in length and contains 2 acres. Change the 2 acres into square feet. 43,560 square feet (1 acre) x 2 acres = 87,120 square feet contained in the rectangle. Divide the area of the rectangle, 87,120 by the length of the road, 5,280 to arrive at the width of the road 16.5 feet."
Real Estate Calculations,A road runs across the entire northern boundary of a section of land. The road contains two acres of land. The approximate width of the road would be:,17 feet.,20 feet.,30 feet.,40 feet.,a,"Correct answer is (a). A section measures 1 mile square. Therefore, the length of the road is 5,280 feet. The road contains 2 acres which is 87,120 square feet (43,560 square feet (1 acre) x 2 acres = 87,120 square feet). Divide the area of the rectangle, 87,120 by the length of the road, 5,280 to arrive at the width of the road 16.5 feet."
Real Estate Calculations,"A salesperson has a 60/40 split with the broker. If the commission for the sales is 6% to be split between the brokers, what is the salesperson's 40% commission on a $132,000 sale?","$1,584.00","$3,960.00","$7,920.00","$3,168.00",a,"Correct answer is (a). $132,000 x .06 = $7,920 divided by 2 = $3,960 x .40 = $1,584.00."
Real Estate Calculations,"A single-family residence has an estimated value by the sales comparison approach of $142,000. Its value by the cost approach is $139,500 and by the income capitalization approach, $125,000. Which value will probably be your final estimate of value?","$142,000","$139,500","125,000","$135,500",a,Correct answer is (a). The sales comparison approach is the best for use in this instance.
Real Estate Calculations,"A small income property generates a monthly gross income of $600. Over the last five years it has been vacant for three months. The annual expenses are $2,000. If an appraiser applied a 10% capitalization rate to this property, what would be the value?","$58,000","$65,000","$48,400","$90,000",c,"Correct answer is (c). $600 x 12 = $7,200 annual gross income. 12 months x 5 years = 60 months. 3 months vacant divided by 60 months = .05 (5%) vacancy factor. $7,200 x 5% = $360 annual vacancy loss. $7,200 - $360 = $6,840 adjusted gross income. $6,840 - $2,000 annual expenses = $4,840 annual net income. $4,840 divided by 10% = $48,400."
Real Estate Calculations,"A subdivider purchased 10 acres for $200,000 with a 10% down payment. The balance was to be in the form of a straight note secured by a deed of trust. The deed of trust contained a release clause providing that, upon each payment of $20,000, one acre would be released free and clear. The subdivider subsequently paid $40,000 on the principal and received a release on two acres of land free and clear. By this transaction, the percentage of his equity in the encumbered property would do which of the following?",Increase,Decrease,Stay the same,Decrease when the first four lots were released and increase when the last six are released,a,"Correct answer is (a). When the developer purchased the land, his equity was 10%--the initial $20,000 down payment. ($200,000 - $20,000 = $180,000). Subsequently, the developer reduced the loan by another $40,000 to $140,000. Based on the initial purchase price, the developer's equity would increase to 30% ($200,000 - $140,000 = $60,000 divided by $200,000)."
Real Estate Calculations,"A subdivider purchased 10 acres for $200,000 with a 10% down payment. The balance was to be in the form of a straight note secured by a deed of trust. The deed of trust contained a release clause providing that, upon each payment of $20,000, one acre would be released free and clear. The subdivider subsequently paid $40,000 on the principal and received a release on two acres of land free and clear. By this transaction, the percentage of his equity in the encumbered property would do which of the following?",Increase,Decrease,Stay the same,Decrease when the first four lots were released and increase when the last six are released,a,"Correct answer is (a). When the developer purchased the land, his equity was 10%--the initial $20,000 down payment. ($200,000 - $20,000 = $180,000). Subsequently, the developer reduced the loan by another $40,000 to $140,000. Based on the initial purchase price, the developer's equity would increase to 30. ($200,000 - $140,000 = $60,000 divided by $200,000)."
Real Estate Calculations,A triangular-shaped lot has a road frontage (base) of 80 feet and a depth of 120 feet. What is the area of the lot?,277 square feet,"4,800 square feet","9,600 square feet",none of these,b,"Correct answer is (b). The area of a triangle is base x height divided by 2. 80 x 120 = 9,600 divided by 2 = 4,800."
Real Estate Calculations,Alfred bought a piece of property for 20% less than the listed price. He later sold it for the listed price. His gain was:,10%.,20%.,25%.,none of the above,c,"Correct answer is (c). Listing price is $100,000. At 20% less, would be 80,000. Later selling at $100,000 would be a gain of $20,000 divided by $80,000 = 0.25 (25%)."
Real Estate Calculations,"An apartment building cost $450,000. It brings in a net income of $3,000 per month. The owner is making what percentage of return on the investment?",7%,8%,11%,13%,b,"Correct answer is (b). $3,000 per month x 12 months $36,000 per year (always convert monthly rent to annual rent in the income approach). Net income $36,000 divided by $450,000 cost (or value) = 8% return on the investment."
Real Estate Calculations,"An apartment building is valued at $275,000 using a 7% capitalization rate. How much would an investor pay for the property if she demanded a 9% capitalization rate?","$250,000","$225,000","$213,889","$300,000",c,"Correct answer is (c). $275,000 x 7% = $19,250 annual net income. $19,250 divided by 9% = $213,889.89. Remember, as capitalization rate goes up, the value goes down."
Real Estate Calculations,"An apartment house has 100,000 square feet of floor space. If the owner has 60% of the floor space covered with carpeting at a cost of $6.00 per square yard, his approximate cost would be:","$6,000.00","$10,000.00","$20,000.00","$40,000.00",d,"Correct answer is (d). 100,000 x 60% = 60,000 square feet:|60,000 divided by 9 = 6666 2/3 square yards;|6666 2/3 x $6 = $40,000."
Real Estate Calculations,"An apartment was purchased for $175,000. The terms of purchase were $125,000 cash, and a purchase money deed of trust for the balance. The land was valued at $60,000. What would the adjusted cost basis of the property be after it is fully depreciated?",The remaining balance on the purchase money deed of trust,"$115,000, the value of the improvements","$60,000, the value of the land",It would have no adjusted cost basis as it is fully depreciated,c,"Correct answer is (c). Only the improvements are depreciated; therefore, after the property has been fully depreciated, the adjusted cost basis would still be the original value of the land, $60,000."
Real Estate Calculations,"An apartment's financial statement disclosed the following: Gross income = $20,000; vacancy factor = 9%; operating expenses = $5,000; payments to amortize the existing 1st and 2nd deeds of trust = $300 monthly. Using a 12% capitalization rate, what is the value of the property?","$110,000","$20,000","$60,000","$100,000",a,"Correct answer is (a). $20,000 (gross income) - $1,800 (vacancy factor) = $18,200 (effective gross income). $18,200 - $5,000 (operating expenses) = $13,200 (net income). $13,200 divided by .12 (cap. rate) = $110,000. Note: You cannot subtract principal or interest payments on trust deeds. This is not an operating expense."
Real Estate Calculations,"An apartment's financial statement discloses the following: (1) gross income-$10,000; (2) vacancy factor-10%; (3) operating expenses-$4,000; (4) payments to amortize the existing 1st and 2nd deeds of trust-$250 monthly. Using a 10% capitalization rate, what is the value of the property?","$50,000","$20,000","$60,000","$100,000",a,"Correct answer is (a). $10,000 x 10% = $1,000; $9,000 - $4,000 = $5,000; Apply the standard cap rate equation: $5,000 (net operating income) divided by 10% (cap rate) = $50,000."
Real Estate Calculations,"An income property has a net income of $40,000. How much value would be lost if the current capitalization rate in the area changed from 5% to 8%?","$100,000","$10,000","$300,000",None of the above,c,"Correct answer is (c). Divide the net income of $40,000 by 5%. It will give you a value of $800,000. You divide the same net income of $40,000 by 8%. It gives you a value of $500,000. The net difference is a $300,000 decrease in value."
Real Estate Calculations,"An income property has a value of $400,000 and returns a net of 8% to its owner. What would the value of this property be to a new purchaser who wished to receive an 10% return on his money?","$200,000","$266,667","$320,000","$160,000",c,"Correct answer is (c). The trick is getting the NET INCOME. The net income is determined by recognizing that the property nets its present owner 8% of $400,000 which is $32,000 (400,000 x 8% = $32,000). Now knowing the net income is $32,000 and the investor wants and 10% return on a property with a $32,000 net, you divide the $32,000 (net income) by 10% (the cap rate) to get $320,000 (the appraised value)."
Real Estate Calculations,"An individual borrowed $9,000 on a straight note and an interest of 7%. If the total interest paid on the note totaled $840.00, the term of the loan was:",14 months.,16 months.,18 months.,20 months.,b,"Correct answer is (b). To determine this, you multiply $9,000 times 7%, which equals $630.00 interest per year. Next $630.00 divided by 12 equals $52.50 per month. And finally $840.00 total interest divided by $52.50 equals 16 months."
Real Estate Calculations,"An individual sold his property for $35,200 and realized a 10% profit over what he paid for it. His profit was:","$3,520.00","$3,811.00","$3,200.00","$3,872.00",c,"Correct answer is (c). The selling price of $35,200 = cost + 10% or 110% of selling price;|$35,200 selling price divided by 1.10= $32,000;|$35,200-32,000 = $ 3,200 profit.|"
Real Estate Calculations,"An individual sold his property for $40,000 and realized a 10% profit over what he paid for it. His profit was:","$3,520.00","$3,811.00","$3,637.00","$3,872.00",c,"Correct answer is (c). The selling price of $40,000 = cost + 10% or 110% of selling price. $40,000 divided by 110% = $36,363 (cost). $40,000 - $36,363 = $3,637 profit."
Real Estate Calculations,"An investor paid $18,900 for a lot that had an area of 22,500 sq. ft. and was 160 ft. deep. The lot was sold and a 35% profit was made after paying a 10% brokers commission. At what price per front foot did the lot sell?",$155,$202,$177,$181,b,"Correct answer is (b). $18,900 x (100%+35% profit) = $25,515.60 net after paying the commission. $25,515.60 divided by 90%(total percentage after discount) = $28,350 selling price. 22,500(area) divided by 160 ft.(length) = 140.63(width). $28,350(sales price) divided by 140.63 ft. (width of lot at the street) = $201.59 per front foot."
Real Estate Calculations,"An investor purchased a home for $144,000, with a $40,000 down payment and financing the balance with $104,000 straight note. The investor then sold the property for double the purchase price. If the investor had made no principal or interest payments on the loan, each dollar invested would now be worth:",$2.20.,$4.00.,$4.60.,$6.60.,c,"Correct answer is (c). (1) $144,000 x 2 = $288,000 new selling price;|(2) $288,000 - $104,000 loan = $184,000 profit;|(3) $184,000 (profit) divided by $40,000 (invested) = $4.60."
Real Estate Calculations,"An investor wants to purchase a 60-unit apartment building that has an annual net income of $180,000. How much would he be willing to pay for the building if he uses a 12% capitalization rate?","$1,400,000","$1,650,000","$1,985,000","$1,500,000",d,"Correct answer is (d). $180,000 divided by 12% = $1,500,000."
Real Estate Calculations,"An offer said, ""Seller to take back a second mortgage securing the note for $12,400, payable at $200.00 or more per month, including interest at 9% per annum from May 15, 1989."" If the first payment date on the second mortgage is June 15, 1989, how much of the regular payment will go to principal reduction?",$80.00,$173.50,$184.50,$107,d,"Correct answer is (d). $12,400 loan amount x 9% annual interest rate = $1,116 annual interest. $1,116 annual interest divided by 12 months = $93 first month's interest. $200 monthly payment - $93 first month's interest = $107 first month's principal."
Real Estate Calculations,"An owner of a home listed it at a price which would leave him $16,800 after the broker received a 6% commission. If the broker sold the property at the listed price, how much commission would he receive?","$1,088.00","$1,193.00","$1,072.00","$1,064.00",c,"Correct answer is (c). $16,800 divided by 94% = $17,872 - $16,800 = $1,072 commission."
Real Estate Calculations,"An owner of a home listed it at a price which would leave him $18,800 after the broker had received a 6% commission. If the broker sold the property at the listed price, how much commission would he receive?","$1,088","$1,193","$1,200","$1,064",c,"Correct answer is (c). $18,800 divided by 94% = $20,000 - $18,800 = $1200 commission."
Real Estate Calculations,"Angie owns a single family home which rents for $600 per month. A home across the street rents for $690 per month and recently sold for $78,000. If Angie applied the same gross rent multiplier to her home as was used on the home across the street, what would be the value of Angie's home?","$50,000","$67,800","$69,565","$70,909",b,"Correct answer is (b). $78,000 (selling price) divided by $690 (rent) = 113.04 GRM (gross rent multiplier);$600 (rent) x 113.04 (GRM) = $67,826.09."
Real Estate Calculations,"Assume a second trust deed has a face amount of $4,000, payable $65 a month plus 7.2% interest per year. What would be the amount of the interest due on the first monthly payment?",$24,$28.20,$288,$65,a,"Correct answer is (a). $4,000 x 0.072 equals $288 interest for one year. $288 divided by 12 equals $24 first month's interest."
Real Estate Calculations,"Assume a second trust deed has a face amount of $6,000, payable at $75 a month plus 8.2% interest per year. What would be the amount of the interest due on the first monthly payment?",$24,$28.20,$41,$65,c,"Correct answer is (c). $6,000 x .082 equals $492 interest for one year. $492 divided by 12 = $41 first month's interest."
Real Estate Calculations,"Assume it would cost $12,500 to reproduce an improvement today. Assume the land is valued at $1,000 today. Assume the improvement is actually 12 years old. The depreciation rate is 1-1/2%. Using the above facts, what is the depreciated value today?","$10,250","$10,750","$11,250",None of the above,c,"Correct answer is (c). 12 years x 1-1/2% = 18% depreciation rate;$12,500 x 18% = $2,250 depreciation;$12,500 - $2,250 = $10,250 remaining value;$10,250 + $1,000 land value = $11,250 answer."
Real Estate Calculations,"Assume it would cost $16,500 to reproduce an improvement today. The land is valued at $2,000 today. Assuming the improvement is actually 12 years old and the depreciation rate is 2-1/2%, what is the depreciated value today?","$10,250","$10,750","$11,550","$13,550",d,"Correct answer is (d). 12 years x 2-1/2% = 30% depreciation rate. $16,500 x 30% = $4,950 depreciation. $16,500 - $4,950 = $11,550 remaining value. $11,550 + $2,000 land value = $13,550."
Real Estate Calculations,"Assume Mr. Kelly owns his home and borrowed money to buy it with a loan payable at $114.63 per month. The balance on the loan for the last month was $16,500. $32.13 was applied on his principle on his last payment. What was the interest rate on the note in these circumstances?",16.60%,6%,5.25%,9.20%,b,"Correct answer is (b). $114.63 (monthly payment) - $32.13 (principal part of payment) = $82.50 (interest);|$82.50 x 12 months = $990 interest per 1 year;|$990 divided by $16,500 (loan balance) = 6%."
Real Estate Calculations,"Assume Mr. Kelly owns his home but he borrowed money to buy it with a loan payable at $114.63 per month. The balance on the loan for the last month was $16,500. $32.13 was applied on his principle on his last payment. What was the interest rate on the note in these circumstances?",16.60%,6%,5.25%,9.20%,b,"Correct answer is (b). $114.63 (monthly payment) - $32.13 (principal part of payment) =| 82.50 (interest);|$82.50 x 12 months = $990 interest per 1 year;|$990 divided by $16,500 (loan balance) = 6%."
Real Estate Calculations,"Assume Mr. Willis owns his home but he borrowed money to buy it with a loan payable at $112.44 per month. The balance on the loan for the last month was $16,000. $32.44 was applied on his principle on his last payment. What was the interest rate on the note in these circumstances?",16.60%,6%.,5-1/4%,9.20%,b,"Correct answer is (b). $112.44 (monthly payment) - $32.44 (principal part of payment) = $80.00 (interest). $80.00 x 12 months = $960 interest per 1 year. $960 divided by $16,000 (loan balance) = 6%."
Real Estate Calculations,"Assume that the original value of a property was $122,500, with the land valued at $24,500. If the economic life of the improvement was estimated to be 40 years using the straight line approach, what was the book value of the property after 14 years?","$34,300","$63,700","$88,200","$98,000",c,"Correct answer is (c). Value of the improvement is $122,500 - $24,500 = $98,000. Then calculate the amount of depreciation. ($98,000 divided by 40 years x 14 years = $34,300. Subtract depreciation from the value of the improvement. $98,000 - $34,300 = $63,700. Since the question is asking the book value of the entire property (not just the improvement) at the end of 14 years, add the depreciated book value of the improvement to the land value to get the book value of the property. $63,700 + $24,500 = $88,200"
Real Estate Calculations,"Assume that the original value of a property was $122,500, with the land valued at $24,500. If the economic life of the improvement was estimated to be 40 years using the straight line approach, what was the book value of the property after 14 years?","$34,300","$63,700","$88,200","$98,000",c,"Correct answer is (c). Value of the improvement is $122,500 - $24,500 = $98,000. Then calculate the amount of depreciation. ($98,000 divided by 40 years x 14 years = $34,300. Subtract depreciation from the value of the improvement.$98,000 - $34,300 = $63,700. Since the question is asking the book value of the entire property (not just the improvement) at the end of 14 years, add the depreciated book value of the improvement to the land value to get the book value of the property. $63,700 + $24,500 = $88,200"
Real Estate Calculations,Assuming that the real property taxes on an income property increased $700 per year and all other expenses and income remained the same. The value of the property would decrease by which of the following amounts if you used a capitalization rate of 10%?,$7,$70,$700,"$7,000",d,"Correct answer is (d). $700 divided by .10 = $7,000."
Real Estate Calculations,Atilla bought a parcel of land measuring 110 yards by 220 yards. How many acres are in this parcel?,2.5,5,10,20,b,"Correct answer is (b). 110 yds x 220 yds = 24,200 square yards; 24,200 square yards x 9 square feet (in a square yard) = 217,800 square feet; 217,800 square feet divided by 43,560 square feet per acre = 5 acres."
Real Estate Calculations,Attila bought a parcel of land measuring 110 yards by 220 yards. How many acres are in this parcel?,2.5 acres,5 acres,10 acres,20 acres,b,"Correct answer is (b). First convert yards to feet. 110 yards is 330 feet (110 x 3). 220 yards = 660 feet (220 x 3). Next determine the size of the parcel in sqare feet (SF). 660 x 330 = 217,800 SF. Finally, calculate the number of acres. An acre is 43,560 SF. 217,800 SF divided by 43,560 SF = 5 acres."
Real Estate Calculations,"Ben sold two parcels of land for $9,775 which was 15% higher than their cost four years ago. While Ben owned the parcels, he paid taxes each year at a rate of $7.00 per $100 on an assessed value of 30% of the purchase price. Assuming an annual loss of 4% imputed interest on Ben's original investment as an expense, how much did Ben lose on the transaction?",$650,$885,$799,None of the above,c,"Correct answer is (c). $9,775 divided by 115% (1.15) = $8,500 original cost. $8,500 x 30% (.30) = $2,550 assessed value. $2,550 divided by 100 = 25.5. 25.5 x $7.00 = $178.50 annual property taxes. $178.50 x 4 = $714 taxes. $8,500 + $714 + $1,360 ($8,500 x 4% x 4 years) = $10,574 total cost. $10,574 - $9,775 = $799 loss."
Real Estate Calculations,Bert purchased a property for 20% less than the listed price and later he sold the property for the original listed price. What percentage profit did he make?,20,25,35,45,b,"Correct answer is (b). If a property were listed at $100,000 and it was purchased at 20%"
Real Estate Calculations,"Bert purchased a property for 20% less than the listed price and later, he sold the property for the original listed price. What percentage profit did he make?",20,25,35,45,b,"Correct answer is (b). If a property were listed at $100,000 and it was purchased at 20% discount (purchased for $80,000) and then sold for the list price ($100,000), this would be a profit of $20,000. Based on an investment of $80,000, there would be a profit of 25% ($20,000 divided by $80,000 = 25%)."
Real Estate Calculations,"Bert purchased a property for 20% less than the listed price and later, he sold the property for the original listed price. What percentage profit did he make?",20,25,35,45,b,"Correct answer is (b). If a property were listed at $100,000 and it was purchased at 20% discount (purchased for $80,000) and then sold for the list price ($100,000), this would be a profit of $20,000. Based on an investment of $80,000, there would be a profit of 25. ($20,000 divided by $80,000 = 25%)."
Real Estate Calculations,"Bill paid $200,000 for some income units. If the ratio of the land to improvements is 1 to 4 (1:4), for income tax purposes, which of the following most nearly reflects the depreciable amount of the property?","$40,000","$80,000","$160,000","$200,000",c,"Correct answer is (c). A 1 to 4 ratio means that the value of the improvements is four times the value of the land and the total property value equals five times the land value.  The improvements equal 4/5 multiplied by the total property value. Improvement. . $200,00. . 4/5 (80%) . $160,000. Land is not depreciable for tax purposes."
Real Estate Calculations,"Bill paid $240,000 for some income units. The land was valued at $16,500, and improvements at $35,640. Using the previous figures for depreciation for income tax purposes, which of the following most nearly reflects the depreciable amount?","$35,640","$52,140","$164,160","$240,000",c,"Correct answer is (c). $16,500 (land) + $35,640 (improvements) = $52,140. $35,640 divided by $52,140 = .684 (68.4%). $240,000 (total cost) x .684 = $164,160 improvements. Land is not depreciable for tax purposes."
Real Estate Calculations,"Bill sold a parcel of land for $15,600, which was 25% more than he paid for it. The parcel was described as the S 1/2 of the NE 1/4 of Section 9. The price he paid per acre was:",$70.00,$100.00,$180.00,$156.00,d,"Correct answer is (d). $15,600 divided by 125% = $12,480 (price paid). S 1/2 of NE 1/4 of Section 9 = 80 acres. $12,480 divided by 80 = $156 per acre."
Real Estate Calculations,"Bill sold his office building for $185,000. This was 15% more than what he paid for it. His original cost was approximately:","$212,750.00","$157,250.00","$160,869.00",there is insufficient information to arrive at an answer,c,"Correct answer is (c). To find 115%of the purchase price, divide $185,000 by 1.15 to produce an answer of $160,869."
Real Estate Calculations,"Billy divided an acre of land into four lots. He then sold the lots for $10,000 each. If his cost basis on each lot was $2,000, what was his total gain on the sale of the lots?","$8,000","$10,000","$32,000","$40,000",c,"Correct answer is (c). $10,000 - $2,000 = $8,000 gain per lot; $8,000 x 4 lots = $32,000 gain."
Real Estate Calculations,"Billy divided an acre of land into four lots. He then sold the lots for $10,000 each. If his cost basis on each lot was $2,000, what was his total gain on the sale of the lots?","$8,000","$10,000","$32,000","$40,000",c,"Correct answer is (c). $10,000 - $2,000 = $8,000 gain per lot. $8,000 x 4 lots = $32,000 gain."
Real Estate Calculations,"Bob bought a parcel of raw land and subdivided it into four separate lots. Five years later, he sold each lot for $50,000. The adjusted basis for each lot was $25,000. Bob's long-term capital gain on these transactions is:","$100,000.00","$320,000.00","$400,000.00","$500,000.00",a,"Correct answer is (a). $25,000 x 4 lots = $100,000 adjusted basis. $50,000 x 4 lots = $200,000 total selling price. $200,000 - $100,000 = $100,000 capital gains."
Real Estate Calculations,"Bob has a loan for $16,000 with interest to be paid at the rate of $200 quarterly. What is the interest rate on the loan?",3% but less than 4%,4% but less than 5%,5% but less than 6%,6% but less than 7%,c,"Correct answer is (c). 200 x 4 = 800 divided by 16,000 = 0.05 (5%)."
Real Estate Calculations,"Bob owns a home, which is free and clear. He recently purchased a new home. The contract to purchase the new home however, has a contingency that Bob's current home be sold within 60 days and that Bob net $19,500 from the sale after all expenses have been deducted. Bob employs broker Jones to assist him in the sale of the property. The broker is to receive a 6% commission and there will be an escrow fee of $300. How much must the home in Irvine sell for in order to net Bob $19,500?","$19,916","$19,928","$20,000","$21,063",d,"Correct answer is (d). $19,500 cash (net to owner after expenses) + 300 cash (to cover escrow fee) = $19,800 total cash needed except for the cash needed to pay the 6% commission. Therefore $19,800 represents 94% of what the selling price should be. $19,800 divided by 94% = $21,063."
Real Estate Calculations,"Bob took a listing providing for a 6% commission on the sales price of $210,000. Sue made an offer at the listed price, but did not complete the transaction. The seller declared a forfeiture of the 5% deposit. A provision in the purchase agreement provides that the broker will receive half of the buyer's deposit in the event of the buyer's default. Under these circumstances, the broker is entitled to:","$10,500.00","$12,600.00","$6,300.00","$5,250.00",d,"Correct answer is (d). $210,000 x 5% = $10,500 divided by 2 = $5,250."
Real Estate Calculations,"Brad bought a parcel of land and subdivided it into four separate lots. Five years later, he sold each lot for $75,000. The adjusted basis for each lot was $25,000. Brad's capital gain on these transactions is:","$80,000.00","$320,000.00","$400,000.00","$200,000.00",d,"Correct answer is (d). $25,000 x 4 lots = $100,000 adjusted basis. $75,000 x 4 lots = $300,000 total selling price. $300,000 - $100,000 = $200,000 capital gain."
Real Estate Calculations,"Broker Bob leased a commercial property for 30 years at a rent of $26,000 per year. His commission was 9% of the first year rent, 7% of the rent for years 2 through 5, 4% of the rent for years 6 through 10, and 2% of the rent for years 11 through 30. Assuming all the commission is paid to him as per this schedule, what is the total commission he will receive?","$5,000","$25,220","$10,500","$20,500",b,"Correct answer is (b). $26,000 x 9% = $2,340 (first year commission). $26,000 x 7% = $1,820 (per year 2, 3, 4, 5). $1,820 x 4 = $7,280 (total commission for years 2-5). $26,000 x 4% = $1,040 (per year 6, 7, 8, 9, 10). $1,040 x 5 = $5,200 (total commission for years 6-10). $26,000 x 2% = $520 (per year 11-30). $520 x 20 years = $10,400 (total commission for years 11-30). $2,340 + $7,280 + $5,200 + $10,400 = $25,220 total commission."
Real Estate Calculations,"Broker Bob listed a home for sale for $200,000. He presented the seller with an offer which was 15% less than the listed price. The seller said he would accept the offer if the Broker Bob agreed to reduce her 6% commission by 16-2/3%. If Broker Bob agreed, how much commission would he receive?","$8,500","$10,000","$9,180","$10,800",a,"Correct answer is (a). $200,000 x 15% = $30,000. $200,000 - $30,000 = $170,000 (amount of the offer). 16-2/3% = 1/6 (memorize this). 6% reduced by 1/6 = 5% commission. $170,000 x 5% = $8,500 commission to Broker Bob."
Real Estate Calculations,"Broker John and Broker Jay agreed to divide a 4 1/2% commission equally on the sale of a home, which sold for $180,000. Sue, the listing salesperson, works for Broker John on a 50-50 commission split. Sue would receive approximately how much commission as a result of the sale?","$1,828","$2,828","$2,025","$7,312",c,"Correct answer is (c). $180,000 x 4 1/2% = $8,100 total commission. $8,100 divided by 2 = $4,050 commission to Broker John's office. $4,050 divided by 2 = $2,025 commission to Sue."
Real Estate Calculations,"Cindy purchased a lot for $40,000. She has been asked to build an apartment house with a projected income of $20,000 per year. Her accountant estimates all expenses, including proper management, repairs, etc., to be $12,000 per year. Cindy wants a 10% return on her investment. Which of the following is nearest to the amount she can afford to pay for the erection of the building?","$50,000","$100,000","$110,000","$120,000",a,"Correct answer is (a). $20,000 (annual gross income) - $12,000 (expenses) = $8,000 (annual net income) divided by .10 = $80,000 (value of building and land). $80,000 - $40,000 = $40,000 for erection of the building. Closest answer available is ""A."""
Real Estate Calculations,"Converted to a decimal, 2/3% becomes:",.67.,.83.,1.333.,.75.,a,Correct answer is (a). 2 divided by 3 = .666 or .67.
Real Estate Calculations,"Craig purchased a home for $82,500. He got a first trust deed from a bank for 80% of the purchase price and put up a cash deposit of $1,800. In a separate transaction, he sold a $9,600 trust deed for a 30% discount and applied the proceeds to the purchase price. If the seller will carry a second trust deed for the balance of the purchase price, what will be the amount of the second trust deed carried by the owner?","$7,980","$8,330","$6,421","$5,222",a,"Correct answer is (a). $82,500 x 80% = $66,000 first trust deed;|$82,500 - $66,000 first trust deed = $16,500 balance of the purchase price;|$9,600 trust deed x 70% (100% - 30% discount) = $6,720 buyer received from sale of $9,600 trust deed;|$6,720 + $1,800 cash deposit = $8,520 cash down payment; |$16,500 - $8,520 = $7,980."
Real Estate Calculations,"Dave financed a $120,000 home with an 80% first mortgage from his local credit union, a 10% second mortgage from the seller and a 10% down payment. The seller offered terms of 9.5% INTEREST ONLY on the second mortgage. What are Johnson's monthly payments on the second mortgage?",$146.92,$132.12,$95.00,$186.37,c,"Correct answer is (c). $120,000 x 10% = $12,000 (2nd mortgage amount). 12,000 x 9.5% = $1,140 divided by 12 = $95.00."
Real Estate Calculations,"Debbie paid $6.40 per square foot to purchase a rectangular lot contain 40,000 square feet. The lot was 400 feet deep. What was the cost per front foot?",$220,$640,"$2,560","$1,010",c,"Correct answer is (c). 40,000 square feet divided by 400 foot depth = 100 foot frontage. 40,000 square feet x $6.40 per square foot = $256,000 purchase price. $256,000 purchase price divided by 100 front footage = $2,560 per front foot."
Real Estate Calculations,"Dick purchased a home for $118,600 and arranges to finance the purchase with a 90% loan. The terms of the loan are 10.75% annual interest, a 2% loan fee, and a three point discount. What is the amount of the loan fee and the discount?","$1,913; $4,660","$1,335; $4,194","$2,135; $3,202","$1,201; $4,660",c,"Correct answer is (c). $118,606 x 90% = $106,740 (amount of loan) x 2% (loan fee) = $2,135. $106,740 x 3% (discount) = $3,202."
Real Estate Calculations,Dividing a one acre parcel of land into four equal sized rectangular lots parallel to each other and each measuring 240' in depth would give an approximate width of each lot equal to:,45'.,726'.,182'.,84'.,a,"Correct answer is (a). 43,560 square feet in one acre divided by 240 feet equals 181.5 feet total frontage divided by 4 sides equals approximately 45 feet."
